Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Vero,2 in 1 Convertible,12.19,Full HD 2560x1440,Intel Core i5 1.92GHz,4GB,256GB SSD,Nvidia GeForce GTX 1050M,Windows 10,3.5kg,27218.85
Samsung,2 in 1 Convertible,16.03,Full HD 1366x768,AMD Ryzen 7 3.51GHz,16GB,1TB SSD,Nvidia GeForce 930MX,Linux,3.65kg,88026.51
Lenovo,Ultrabook,11.81,Full HD 2880x1800,Intel Core i5 2.63GHz,8GB,1TB HDD,AMD FirePro W4190M ,Chrome OS,3.13kg,42878.55
Toshiba,Ultrabook,16.22,Full HD 3840x2160,Intel Core i3 2.12GHz,4GB,512GB SSD,Nvidia Quadro M620,Chrome OS,3.13kg,197984.73
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,Windows 10,2.1kg,65510.9568
Microsoft,Notebook,16.96,Full HD 1920x1080,Intel Core i3 3.87GHz,4GB,1TB SSD,AMD Radeon R7 M360,Chrome OS,3.62kg,168903.48
Samsung,Notebook,17.09,Full HD 2560x1440,AMD Ryzen 5 4.33GHz,16GB,512GB SSD,AMD Radeon RX 580,Linux,2.48kg,194321.64
Xiaomi,Notebook,11.83,Full HD 3840x2160,Intel Core i7 3.59GHz,16GB,1TB HDD,Nvidia GeForce GTX 970M,Chrome OS,3.54kg,85352.86
Samsung,Notebook,14.8,Full HD 1920x1080,Intel Core i7 3.05GHz,8GB,256GB SSD,Nvidia GeForce GTX 940M,Windows 10 S,2.51kg,203216.97
MSI,Ultrabook,16.2,Full HD 2560x1440,AMD Ryzen 7 3.58GHz,16GB,512GB SSD,Nvidia GeForce GTX 960M,Chrome OS,2.18kg,45686.23
Huawei,2 in 1 Convertible,17.75,Full HD 3840x2160,Intel Core i3 2.54GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon 520,Linux,3.49kg,43656.84
MSI,Workstation,15.91,Full HD 2880x1800,Intel Core i7 3.88GHz,16GB,1TB SSD,Nvidia GeForce 920M,No OS,1.85kg,237479.55
Chuwi,Workstation,15.06,Full HD 2880x1800,Intel Core i7 2.93GHz,32GB,256GB SSD,AMD Radeon R5 430,Windows 10 S,2.8kg,181242.31
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.2kg,26586.72
Lenovo,Notebook,11.9,Full HD 2560x1440,Intel Core i3 3.49GHz,8GB,1TB HDD,AMD Radeon 530,Chrome OS,3.6kg,137219.95
HP,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8GB,2TB HDD,Intel HD Graphics 620,Windows 10,2.04kg,33513.12
Dell,Notebook,14.58,Full HD 1920x1080,AMD Ryzen 7 2.89GHz,32GB,1TB SSD,AMD Radeon R5 M315,No OS,2.74kg,178672.82
Razer,Notebook,17.67,Full HD 2880x1800,AMD Ryzen 5 3.55GHz,4GB,1TB SSD,AMD Radeon R7 Graphics,Mac OS X,3.11kg,68277.12
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg,47365.92
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1kg,42304.32
Vero,Gaming,13.24,Full HD 3840x2160,AMD Ryzen 7 2.96GHz,8GB,256GB SSD,Nvidia GeForce 920MX,Chrome OS,2.32kg,108380.52
Lenovo,Notebook,14.86,Full HD 2560x1440,AMD Ryzen 5 3.6GHz,32GB,512GB SSD,Nvidia GeForce MX150,Windows 7,2.07kg,237793.14
Dell,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,1.93kg,51095.52
Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,163723.5792
Fujitsu,Workstation,14.69,Full HD 2880x1800,Intel Core i5 3.61GHz,4GB,512GB SSD,AMD Radeon R5 M430,Windows 10,1.25kg,98147.1
Toshiba,Workstation,12.85,Full HD 1366x768,AMD Ryzen 5 2.93GHz,16GB,256GB SSD,Nvidia GeForce 930M,Windows 10,3.08kg,191314.42
Vero,Netbook,15.09,Full HD 3840x2160,Intel Core i3 1.95GHz,8GB,1TB HDD,Nvidia GeForce 920MX,macOS,1.21kg,71411.84
Toshiba,2 in 1 Convertible,12.7,Full HD 1920x1080,Intel Core i5 3.01GHz,16GB,1TB HDD,AMD Radeon 520,Windows 7,1.97kg,185688.97
Lenovo,Netbook,11.99,Full HD 1366x768,Intel Core i7 3.65GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon R5 M330,Windows 10 S,0.91kg,90366.04
HP,Ultrabook,14,2560x1440,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.54kg,117119.5632
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16kg,60223.9824
Fujitsu,Gaming,14.19,Full HD 1366x768,Intel Core i7 2.49GHz,16GB,512GB SSD,Nvidia GTX 980 SLI,Windows 10,2.57kg,59348.72
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.48kg,67559.04
Lenovo,Ultrabook,16.87,Full HD 2880x1800,AMD Ryzen 7 3.97GHz,8GB,256GB SSD,Nvidia GeForce 940M,Windows 10,1.96kg,157660.78
Apple,Workstation,11.4,Full HD 2560x1440,AMD Ryzen 7 2.56GHz,8GB,1TB HDD,Intel HD Graphics 520,Linux,3.31kg,98686.91
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.04kg,54291.7872
Razer,Netbook,14.2,Full HD 1920x1080,Intel Core i7 2.64GHz,32GB,256GB SSD,Intel Iris Graphics 550,macOS,1.07kg,226263
Apple,Netbook,13.89,Full HD 2560x1440,Intel Core i5 3.84GHz,16GB,256GB SSD,AMD Radeon R2,Chrome OS,3.42kg,241525.42
Acer,Notebook,14,Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.6kg,17529.12
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg,44542.08
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,77250.672
Xiaomi,Ultrabook,13.05,Full HD 3840x2160,Intel Core i7 4.13GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,macOS,3.52kg,72778.04
Acer,Netbook,15.12,Full HD 2880x1800,AMD Ryzen 5 4.29GHz,32GB,1TB HDD,Nvidia GeForce GTX 1060,Mac OS X,3.24kg,200872.19
Razer,Ultrabook,12.27,Full HD 2560x1440,AMD Ryzen 5 2.85GHz,32GB,256GB SSD,Nvidia GeForce GTX 1050M,Chrome OS,2.33kg,248270.56
Microsoft,Workstation,12.3,Full HD 1920x1080,AMD Ryzen 5 1.8GHz,8GB,1TB SSD,Nvidia GeForce GTX 1050,Windows 10 S,3.46kg,152560.12
Lenovo,Workstation,17.26,Full HD 1920x1080,AMD Ryzen 7 3.41GHz,4GB,512GB SSD,Nvidia GeForce GTX1080,Android,3.43kg,155978.35
Lenovo,Netbook,17.79,Full HD 2560x1440,AMD Ryzen 7 2.66GHz,16GB,512GB SSD,Nvidia Quadro M2000M,No OS,2.66kg,190464.58
Lenovo,Gaming,17.13,Full HD 2560x1440,Intel Core i3 2.0GHz,16GB,512GB SSD,Nvidia GeForce GT 940MX,Chrome OS,3.47kg,60297.64
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.7GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42kg,109010.88
Apple,Ultrabook,17.59,Full HD 1366x768,AMD Ryzen 5 1.74GHz,16GB,1TB SSD,Nvidia GeForce 930MX,Linux,2.56kg,80367.56
Xiaomi,Workstation,15.74,Full HD 2880x1800,Intel Core i3 4.06GHz,16GB,256GB SSD,Intel Iris Plus Graphics 640,No OS,2.3kg,178417.7
LG,Gaming,15.67,Full HD 1366x768,Intel Core i3 3.39GHz,16GB,1TB SSD,AMD Radeon R2 Graphics,macOS,3.72kg,247126.96
Chuwi,Workstation,15.92,Full HD 2560x1440,AMD Ryzen 7 3.82GHz,8GB,1TB HDD,Intel HD Graphics 620,Mac OS X,2.07kg,43225.71
Apple,2 in 1 Convertible,13.64,Full HD 2560x1440,Intel Core i7 3.48GHz,8GB,1TB SSD,Intel HD Graphics 505,macOS,1.04kg,34380.22
Toshiba,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.47kg,91908
Microsoft,2 in 1 Convertible,11.68,Full HD 1920x1080,AMD Ryzen 7 2.45GHz,8GB,1TB HDD,Intel Iris Pro Graphics,No OS,3.24kg,200626.6
Microsoft,Ultrabook,15.84,Full HD 2560x1440,Intel Core i3 3.06GHz,16GB,1TB SSD,Intel Graphics 620,Windows 7,3.8kg,63168.87
Apple,Notebook,17.52,Full HD 1920x1080,AMD Ryzen 5 1.51GHz,16GB,1TB HDD,Intel HD Graphics 505,Windows 7,3.05kg,248715.7
Dell,Gaming,12.28,Full HD 2560x1440,AMD Ryzen 5 3.6GHz,4GB,1TB HDD,Nvidia GeForce 920M,Chrome OS,1.01kg,35637.54
Huawei,Gaming,15.96,Full HD 3840x2160,AMD Ryzen 7 1.77GHz,32GB,256GB SSD,Nvidia GeForce 960M,Windows 10 S,2.65kg,222281.75
Lenovo,Ultrabook,17.2,Full HD 1366x768,Intel Core i7 3.35GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon 530,Windows 10,3.4kg,224609.24
Vero,Notebook,14,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.3kg,13852.8
Dell,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.42kg,98133.768
Microsoft,Notebook,17.07,Full HD 1366x768,Intel Core i3 4.01GHz,32GB,512GB SSD,AMD Radeon R5 520,macOS,2.24kg,34458.22
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,64GB,1TB SSD,Nvidia GeForce GTX 980 ,Windows 10,3.58kg,211788
MSI,Netbook,11.72,Full HD 1366x768,Intel Core i7 4.09GHz,4GB,1TB HDD,Intel HD Graphics 505,macOS,1.5kg,20673.29
Chuwi,Netbook,14.29,Full HD 1920x1080,Intel Core i7 2.67GHz,16GB,256GB SSD,Intel HD Graphics 6000,Chrome OS,3.49kg,159122.04
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.32kg,37242.72
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,45074.88
Samsung,Ultrabook,11.73,Full HD 3840x2160,Intel Core i7 3.61GHz,4GB,1TB SSD,Nvidia GeForce GTX 940M,Windows 7,2.79kg,117296.67
Huawei,Notebook,15.32,Full HD 1366x768,Intel Core i3 3.62GHz,32GB,1TB HDD,Intel HD Graphics 5300,No OS,3.26kg,67456.66
Toshiba,Gaming,12.36,Full HD 1366x768,Intel Core i7 2.57GHz,16GB,1TB HDD,AMD Radeon RX 550,Windows 10 S,1.87kg,120140.5
